voltage,current,currentDev
0.0,-1.098018e-10,3.875328e-10
-5.0,-4.18566e-09,3.741894e-10
-10.0,-1.15462e-08,3.484993e-10
-15.0,-1.992189e-08,4.282845e-10
-20.0,-2.687403e-08,3.421211e-10
-25.0,-3.336235e-08,3.93489e-10
-30.0,-3.941445e-08,3.238721e-10
-35.0,-4.567889e-08,3.227996e-10
-40.0,-5.189709e-08,3.228222e-10
-45.0,-5.809614e-08,4.734622e-10
-50.0,-6.440136e-08,3.884798e-10
-55.0,-7.040566e-08,4.336121e-10
-60.0,-7.739231e-08,3.557722e-10
-65.0,-8.449969e-08,5.814615e-10
-70.0,-9.12135e-08,3.048793e-10
-75.0,-9.793157e-08,4.513609e-10
-80.0,-1.052543e-07,3.206384e-10
-85.0,-1.126577e-07,4.931096e-10
-90.0,-1.206719e-07,6.910164e-10
-95.0,-1.291663e-07,6.73589e-10
-100.0,-1.369217e-07,8.743253e-10
-105.0,-1.455752e-07,4.980898e-10
-110.0,-1.538849e-07,6.221918e-10
-115.0,-1.619418e-07,4.53612e-10
-120.0,-1.694358e-07,6.269285e-10
-125.0,-1.772923e-07,6.241888e-10
-130.0,-1.856916e-07,1.10992e-09
-135.0,-1.929344e-07,1.369824e-09
-140.0,-2.006429e-07,5.748986e-10
-145.0,-2.081557e-07,5.426453e-10
-150.0,-2.148188e-07,1.00989e-09
-155.0,-2.230562e-07,1.990172e-09
-160.0,-2.302152e-07,8.266764e-10
-165.0,-2.361998e-07,1.524218e-09
-170.0,-2.423791e-07,1.782701e-09
-175.0,-2.494319e-07,1.369247e-09
-180.0,-2.561515e-07,8.048583e-10
-185.0,-2.620005e-07,6.578129e-10
-190.0,-2.671409e-07,1.237942e-09
-195.0,-2.731969e-07,1.448004e-09
-200.0,-2.78784e-07,2.426372e-09
-205.0,-2.857417e-07,1.657702e-09
-210.0,-2.920246e-07,1.514533e-09
-215.0,-3.00474e-07,1.658235e-09
-220.0,-3.056896e-07,1.575791e-09
-225.0,-3.132017e-07,1.269333e-09
-230.0,-3.199127e-07,1.384534e-09
-235.0,-3.272673e-07,1.136211e-09
-240.0,-3.332988e-07,8.077884e-10
-245.0,-3.416553e-07,8.652866e-10
-250.0,-3.494808e-07,3.100497e-10
-255.0,-3.572366e-07,1.724534e-09
-260.0,-3.663693e-07,1.38703e-09
-265.0,-3.756977e-07,2.87114e-09
-270.0,-3.853229e-07,1.828234e-09
-275.0,-3.9425e-07,1.083948e-09
-280.0,-4.033061e-07,1.154554e-09
