voltage,current,currentDev
0.0,-3.222127e-11,4.091217e-10
-5.0,2.904962e-11,4.086451e-10
-10.0,5.432765e-11,3.698108e-10
-15.0,8.320572e-11,3.898063e-10
-20.0,3.186348e-11,3.825158e-10
-25.0,8.521409e-11,3.830468e-10
-30.0,-4.222333e-12,4.011751e-10
-35.0,-4.923859e-11,4.199197e-10
-40.0,-6.036424e-10,4.156761e-10
-45.0,-1.119369e-09,3.806857e-10
-50.0,-1.612763e-09,4.034124e-10
-55.0,-1.927048e-09,3.689113e-10
-60.0,-3.275943e-09,3.787429e-10
-65.0,-4.995376e-09,3.94991e-10
-70.0,-5.879463e-09,3.950133e-10
-75.0,-7.365681e-09,4.699817e-10
-80.0,-1.034921e-08,4.742424e-09
-85.0,-9.891355e-09,4.391409e-10
-90.0,-1.127178e-08,4.213213e-10
-95.0,-1.513794e-08,3.728173e-10
-100.0,-2.165533e-08,7.157921e-10
-105.0,-2.285798e-08,8.565225e-10
-110.0,-2.113232e-08,5.050848e-10
-115.0,-2.047388e-08,5.655805e-10
-120.0,-2.091452e-08,4.141968e-10
-125.0,-2.11841e-08,2.925938e-10
-130.0,-2.24134e-08,2.850826e-10
-135.0,-2.250258e-08,2.755495e-10
-140.0,-2.22695e-08,3.133558e-10
-145.0,-2.249933e-08,2.911388e-10
-150.0,-2.263043e-08,2.871923e-10
-155.0,-2.265562e-08,3.350556e-10
-160.0,-2.263851e-08,2.618483e-10
-165.0,-2.301598e-08,2.819888e-10
-170.0,-2.317846e-08,2.815508e-10
-175.0,-2.332742e-08,2.788571e-10
-180.0,-2.361497e-08,2.6703e-10
-185.0,-2.377428e-08,2.839253e-10
-190.0,-2.364958e-08,3.069399e-10
-195.0,-2.37274e-08,3.268752e-10
-200.0,-2.416847e-08,3.263745e-10
-205.0,-2.399329e-08,2.736013e-10
-210.0,-2.400286e-08,2.941387e-10
-215.0,-2.419077e-08,2.763516e-10
-220.0,-2.437438e-08,2.688891e-10
-225.0,-2.442436e-08,3.192726e-10
-230.0,-2.445666e-08,2.79117e-10
-235.0,-2.461166e-08,3.163483e-10
-240.0,-2.480584e-08,3.033473e-10
-245.0,-2.500924e-08,3.044977e-10
-250.0,-2.509281e-08,2.790263e-10
-255.0,-2.537364e-08,2.39852e-10
-260.0,-2.539039e-08,2.967357e-10
-265.0,-2.552401e-08,2.747715e-10
-270.0,-2.553457e-08,2.406887e-10
-275.0,-2.583885e-08,2.498272e-10
-280.0,-2.597728e-08,3.046529e-10
-285.0,-2.615217e-08,3.628273e-10
-290.0,-2.628754e-08,2.847831e-10
-295.0,-2.631591e-08,3.08137e-10
-300.0,-2.652339e-08,2.968374e-10
-305.0,-2.661426e-08,3.022717e-10
-310.0,-2.667364e-08,3.34007e-10
-315.0,-2.680774e-08,2.562836e-10
-320.0,-2.683898e-08,2.84844e-10
-325.0,-2.70886e-08,3.114911e-10
-330.0,-2.713866e-08,3.380842e-10
-335.0,-2.736945e-08,3.393729e-10
-340.0,-2.729391e-08,2.857912e-10
-345.0,-2.815309e-08,5.106467e-10
-350.0,-2.767313e-08,3.144014e-10
-355.0,-2.788177e-08,3.167994e-10
-360.0,-2.787112e-08,3.586777e-10
-365.0,-2.814466e-08,2.688867e-10
-370.0,-2.835641e-08,3.071935e-10
-375.0,-2.827732e-08,2.968319e-10
-380.0,-2.899755e-08,3.331207e-10
