voltage,current,currentDev
0.0,-9.849549e-11,3.633796e-10
-5.0,-8.362647e-09,3.609882e-10
-10.0,-1.738554e-08,5.98958e-10
-15.0,-1.905214e-08,9.605725e-10
-20.0,-2.044973e-08,4.265039e-10
-25.0,-2.01277e-08,5.418511e-10
-30.0,-2.137704e-08,3.602734e-10
-35.0,-2.17503e-08,3.154341e-10
-40.0,-2.208021e-08,2.920873e-10
-45.0,-2.225955e-08,3.750127e-10
-50.0,-2.263717e-08,4.790278e-10
-55.0,-2.264509e-08,3.048385e-10
-60.0,-2.281762e-08,3.205063e-10
-65.0,-2.311221e-08,3.503971e-10
-70.0,-2.328808e-08,3.551248e-10
-75.0,-2.330813e-08,3.491658e-10
-80.0,-2.353319e-08,3.460339e-10
-85.0,-2.372923e-08,4.136808e-10
-90.0,-2.389165e-08,3.304298e-10
-95.0,-2.400481e-08,2.715312e-10
-100.0,-2.402298e-08,2.480754e-10
-105.0,-2.424465e-08,3.671547e-10
-110.0,-2.425966e-08,2.812618e-10
-115.0,-2.456553e-08,3.309119e-10
-120.0,-2.503465e-08,3.233999e-10
-125.0,-2.602439e-08,3.63794e-10
-130.0,-2.749359e-08,2.084207e-10
-135.0,-2.896838e-08,2.968344e-10
-140.0,-3.043199e-08,4.622147e-10
-145.0,-3.232854e-08,5.383396e-10
-150.0,-3.388912e-08,2.245166e-10
-155.0,-3.568547e-08,3.717137e-10
-160.0,-3.771187e-08,3.853537e-10
-165.0,-3.958895e-08,3.765692e-10
-170.0,-4.145783e-08,2.99868e-10
-175.0,-4.355009e-08,3.713127e-10
-180.0,-4.548223e-08,2.966557e-10
-185.0,-4.77146e-08,2.768949e-10
-190.0,-4.985953e-08,2.87242e-10
-195.0,-5.211036e-08,3.330715e-10
-200.0,-5.437028e-08,3.943585e-10
-205.0,-5.686945e-08,4.459235e-10
-210.0,-5.950741e-08,2.818302e-10
-215.0,-6.2494e-08,3.614921e-10
-220.0,-6.522084e-08,3.065325e-10
-225.0,-6.793858e-08,2.501794e-10
-230.0,-7.061563e-08,2.154588e-10
-235.0,-7.346492e-08,3.217243e-10
-240.0,-7.622695e-08,3.315613e-10
-245.0,-7.917964e-08,3.688258e-10
-250.0,-8.218953e-08,2.709734e-10
-255.0,-8.535638e-08,2.992094e-10
-260.0,-8.856018e-08,2.920302e-10
-265.0,-9.150688e-08,4.691793e-10
-270.0,-9.481951e-08,3.602137e-10
-275.0,-9.771071e-08,3.893889e-10
-280.0,-1.01046e-07,4.493457e-10
-285.0,-1.043682e-07,2.920444e-10
-290.0,-1.081186e-07,3.011215e-10
-295.0,-1.114759e-07,2.505844e-10
-300.0,-1.15146e-07,3.6973e-10
-305.0,-1.187729e-07,8.495438e-10
-310.0,-1.210403e-07,1.425002e-09
-315.0,-1.260486e-07,1.643282e-09
-320.0,-1.285574e-07,8.967488e-10
-325.0,-1.328162e-07,6.600315e-10
-330.0,-1.362111e-07,2.550101e-09
-335.0,-1.404896e-07,1.071977e-09
-340.0,-1.480928e-07,2.312478e-09
-345.0,-1.489941e-07,1.681966e-09
-350.0,-1.52967e-07,2.822721e-09
-355.0,-1.591233e-07,1.739825e-09
-360.0,-1.640027e-07,8.180306e-10
-365.0,-1.682992e-07,7.57428e-10
-370.0,-1.725037e-07,4.498701e-10
-375.0,-1.751906e-07,2.864087e-09
-380.0,-1.7782e-07,7.205833e-09
-385.0,-1.839649e-07,1.008881e-09
-390.0,-1.877907e-07,1.319096e-09
-395.0,-1.934025e-07,2.537342e-09
-400.0,-1.979246e-07,3.490227e-09
-405.0,-2.027818e-07,1.368266e-09
-410.0,-2.063985e-07,2.029774e-09
-415.0,-2.060131e-07,1.088471e-08
-420.0,-2.170696e-07,6.062946e-10
-425.0,-2.195085e-07,2.44622e-09
-430.0,-2.289974e-07,1.379033e-09
-435.0,-2.338152e-07,8.305838e-10
-440.0,-2.387019e-07,1.678428e-09
-445.0,-2.443326e-07,7.693253e-10
-450.0,-2.48141e-07,1.211037e-09
-455.0,-2.537816e-07,5.173635e-10
-460.0,-2.599289e-07,9.139493e-10
-465.0,-2.64349e-07,9.648455e-10
-470.0,-2.709967e-07,9.641048e-10
-475.0,-2.758082e-07,1.09736e-09
-480.0,-2.798655e-07,9.874972e-10
-485.0,-2.85502e-07,1.104045e-09
-490.0,-2.908774e-07,6.301754e-10
-495.0,-2.961754e-07,8.79437e-10
-500.0,-3.014854e-07,5.579672e-10
-505.0,-3.078736e-07,8.355772e-10
-510.0,-3.121474e-07,8.368534e-10
-515.0,-3.184194e-07,8.012265e-10
-520.0,-3.236098e-07,9.167808e-10
-525.0,-3.296512e-07,1.013306e-09
-530.0,-3.352368e-07,7.697077e-10
-535.0,-3.403599e-07,7.731125e-10
-540.0,-3.473779e-07,1.730584e-09
-545.0,-3.524208e-07,1.09686e-09
-550.0,-3.58247e-07,5.042424e-10
-555.0,-3.652447e-07,1.345438e-09
-560.0,-3.710228e-07,1.079436e-09
-565.0,-3.761099e-07,7.935533e-10
-570.0,-3.822522e-07,7.554705e-10
-575.0,-3.87496e-07,1.284258e-09
-580.0,-3.93633e-07,8.842261e-10
-585.0,-3.979147e-07,1.125179e-09
-590.0,-4.039017e-07,1.182877e-09
