voltage,current,currentDev
0.0,-2.819748e-11,3.911863e-10
-5.0,6.840987e-11,3.61318e-10
-10.0,7.079105e-13,3.584647e-10
-15.0,4.903428e-11,3.949637e-10
-20.0,-2.637066e-10,6.21337e-10
-25.0,5.833278e-11,3.822824e-10
-30.0,2.976464e-11,3.837667e-10
-35.0,7.20211e-11,4.545763e-10
-40.0,1.155778e-10,3.456724e-10
-45.0,-4.36993e-11,4.200871e-10
-50.0,-1.120456e-09,3.789842e-10
-55.0,-1.261943e-09,3.546777e-10
-60.0,-2.046249e-09,2.802318e-10
-65.0,-2.316922e-09,4.938924e-10
-70.0,-3.009627e-09,3.846954e-10
-75.0,-3.559317e-09,4.543165e-10
-80.0,-3.761383e-09,4.324038e-10
-85.0,-4.083941e-09,4.815768e-10
-90.0,-4.594709e-09,4.978624e-10
-95.0,-9.964659e-09,7.864696e-10
-100.0,-1.309758e-08,5.435189e-10
-105.0,-1.715989e-08,5.710409e-10
-110.0,-2.447466e-08,2.531835e-09
-115.0,-1.990897e-08,7.421385e-10
-120.0,-3.635958e-08,2.386028e-09
-125.0,-2.290634e-08,7.205904e-10
-130.0,-2.35808e-08,2.344488e-10
-135.0,-2.300745e-08,3.079865e-10
-140.0,-2.302059e-08,4.066504e-10
-145.0,-2.372335e-08,2.763797e-10
-150.0,-2.353415e-08,3.932262e-10
-155.0,-2.390962e-08,4.585017e-10
-160.0,-2.367707e-08,6.156132e-10
-165.0,-2.37918e-08,4.165732e-10
-170.0,-2.404856e-08,4.074706e-10
-175.0,-2.376612e-08,4.539386e-10
-180.0,-2.429107e-08,3.055609e-10
-185.0,-2.413354e-08,3.961529e-10
-190.0,-2.416113e-08,3.319904e-10
-195.0,-2.419025e-08,3.199742e-10
-200.0,-2.440592e-08,3.633892e-10
-205.0,-2.483977e-08,4.273742e-10
-210.0,-2.46004e-08,3.314615e-10
-215.0,-2.48493e-08,4.731115e-10
-220.0,-2.536754e-08,3.398761e-10
-225.0,-2.630734e-08,3.687357e-10
-230.0,-2.689079e-08,4.090842e-10
-235.0,-2.836628e-08,5.658052e-10
-240.0,-2.879887e-08,5.460455e-10
-245.0,-3.013799e-08,4.133194e-10
-250.0,-3.153426e-08,5.642501e-10
-255.0,-3.31093e-08,6.819044e-10
-260.0,-3.45608e-08,4.605813e-10
-265.0,-3.568033e-08,3.26538e-10
-270.0,-3.722749e-08,3.249538e-10
-275.0,-3.844679e-08,3.906636e-10
-280.0,-4.009036e-08,7.060665e-10
-285.0,-4.12054e-08,4.080911e-10
-290.0,-4.268727e-08,6.29034e-10
-295.0,-4.465377e-08,6.519262e-10
-300.0,-4.700954e-08,7.66376e-10
-305.0,-4.812119e-08,6.239365e-10
-310.0,-4.983856e-08,1.060799e-09
-315.0,-5.113249e-08,8.618895e-10
-320.0,-5.332304e-08,3.663277e-10
-325.0,-5.503724e-08,4.830204e-10
-330.0,-5.641563e-08,8.667783e-10
-335.0,-5.793811e-08,1.521109e-09
-340.0,-6.064785e-08,1.126406e-09
-345.0,-6.193213e-08,1.102252e-09
-350.0,-6.457634e-08,1.076258e-09
-355.0,-6.570685e-08,9.917442e-10
-360.0,-6.867587e-08,8.49562e-10
-365.0,-7.048458e-08,1.253531e-09
-370.0,-7.325579e-08,8.759259e-10
-375.0,-7.472087e-08,8.897617e-10
-380.0,-7.661075e-08,7.839028e-10
-385.0,-7.857282e-08,9.181355e-10
-390.0,-8.115261e-08,6.635693e-10
-395.0,-8.288842e-08,1.156132e-09
-400.0,-8.441659e-08,6.553003e-10
-405.0,-8.670632e-08,7.506462e-10
-410.0,-8.748331e-08,3.922925e-09
-415.0,-9.153636e-08,1.49726e-09
-420.0,-9.35191e-08,1.187936e-09
-425.0,-9.611251e-08,9.318645e-10
-430.0,-9.849391e-08,7.308584e-10
-435.0,-1.005604e-07,1.396148e-09
-440.0,-1.025782e-07,7.719362e-10
-445.0,-1.046033e-07,8.699316e-10
-450.0,-1.071386e-07,9.368168e-10
-455.0,-1.095979e-07,7.597061e-10
-460.0,-1.113975e-07,1.124502e-09
-465.0,-1.145055e-07,1.199933e-09
-470.0,-1.169404e-07,8.987465e-10
-475.0,-1.196879e-07,1.146569e-09
-480.0,-1.219151e-07,7.749047e-10
-485.0,-1.235309e-07,1.517958e-09
-490.0,-1.268589e-07,9.297931e-10
-495.0,-1.295601e-07,9.743873e-10
-500.0,-1.311412e-07,1.771768e-09
-505.0,-1.339936e-07,1.322121e-09
-510.0,-1.359532e-07,1.179371e-09
-515.0,-1.386399e-07,9.033768e-10
-520.0,-1.412736e-07,9.899266e-10
-525.0,-1.426878e-07,1.00237e-09
-530.0,-1.458626e-07,1.290084e-09
-535.0,-1.495523e-07,2.097953e-09
-540.0,-1.514699e-07,1.06625e-09
-545.0,-1.539846e-07,1.107014e-09
-550.0,-1.554405e-07,1.927109e-09
-555.0,-1.596099e-07,1.776197e-09
-560.0,-1.601828e-07,1.347931e-09
-565.0,-1.644785e-07,2.596479e-09
-570.0,-1.660196e-07,2.569322e-09
-575.0,-1.715449e-07,3.259151e-09
-580.0,-1.72506e-07,2.341126e-09
-585.0,-1.739117e-07,1.895142e-09
-590.0,-1.771735e-07,8.182549e-10
-595.0,-1.792806e-07,1.561069e-09
-600.0,-1.811359e-07,2.280703e-09
-605.0,-1.842664e-07,1.564878e-09
-610.0,-1.87577e-07,1.296803e-09
-615.0,-1.891715e-07,1.49876e-09
-620.0,-1.929338e-07,2.060576e-09
-625.0,-1.946887e-07,2.718004e-09
-630.0,-2.02955e-07,1.293041e-08
-635.0,-2.012035e-07,7.894736e-09
-640.0,-2.013047e-07,1.914922e-09
-645.0,-2.034633e-07,7.958402e-10
-650.0,-2.068545e-07,3.778866e-09
-655.0,-2.14829e-07,7.5242e-09
-660.0,-2.156502e-07,6.478052e-09
-665.0,-2.195418e-07,7.348533e-09
-670.0,-2.21333e-07,7.494359e-09
-675.0,-2.271855e-07,5.636975e-09
-680.0,-2.272566e-07,5.881249e-09
-685.0,-2.316653e-07,4.65086e-09
-690.0,-2.2938e-07,1.546659e-09
-695.0,-2.343938e-07,5.905419e-09
-700.0,-2.398656e-07,4.179235e-09
-705.0,-2.409548e-07,4.59825e-09
-710.0,-2.456609e-07,8.581457e-09
-715.0,-2.484671e-07,8.148348e-09
-720.0,-2.529942e-07,7.461846e-09
-725.0,-2.543784e-07,4.603725e-09
-730.0,-2.587641e-07,3.524135e-09
-735.0,-2.607641e-07,8.937114e-09
-740.0,-2.612469e-07,4.454881e-09
-745.0,-2.659937e-07,6.713589e-09
-750.0,-2.677001e-07,6.660851e-09
-755.0,-2.736435e-07,4.001325e-09
-760.0,-2.749796e-07,7.330699e-09
-765.0,-2.776839e-07,6.413781e-09
-770.0,-2.879059e-07,1.309147e-08
-775.0,-2.844683e-07,8.236948e-09
-780.0,-2.889965e-07,4.09033e-09
-785.0,-2.90337e-07,8.986873e-09
-790.0,-2.94406e-07,9.790211e-09
-795.0,-2.960831e-07,6.500225e-09
-800.0,-2.9737e-07,8.829967e-09
