voltage,current,currentDev
0.0,-8.974672e-11,3.172831e-10
-5.0,5.297481e-12,3.187254e-10
-10.0,-1.241052e-11,3.192844e-10
-15.0,2.835001e-12,3.000145e-10
-20.0,7.543081e-12,3.023715e-10
-25.0,-1.417216e-10,3.495855e-10
-30.0,-2.476241e-09,1.078097e-09
-35.0,-1.792678e-08,2.278537e-10
-40.0,-2.021419e-08,4.852339e-10
-45.0,-2.237053e-08,6.2824e-10
-50.0,-2.143959e-08,4.089938e-10
-55.0,-2.21858e-08,2.559091e-10
-60.0,-2.22803e-08,3.272304e-10
-65.0,-2.238815e-08,3.81097e-10
-70.0,-2.264293e-08,3.879102e-10
-75.0,-2.313043e-08,3.708513e-10
-80.0,-2.338058e-08,4.267186e-10
-85.0,-2.32319e-08,2.067353e-10
-90.0,-2.325588e-08,3.411981e-10
-95.0,-2.360784e-08,2.5238e-10
-100.0,-2.364975e-08,2.662993e-10
-105.0,-2.356182e-08,4.070111e-10
-110.0,-2.379481e-08,2.775581e-10
-115.0,-2.412261e-08,3.190835e-10
-120.0,-2.42389e-08,2.579255e-10
-125.0,-2.422725e-08,3.157077e-10
-130.0,-2.422785e-08,2.786307e-10
-135.0,-2.468366e-08,4.675875e-10
-140.0,-2.446258e-08,3.926753e-10
-145.0,-2.482256e-08,4.937522e-10
-150.0,-2.486876e-08,3.38661e-10
-155.0,-2.48945e-08,3.104639e-10
-160.0,-2.526123e-08,2.569143e-10
-165.0,-2.520227e-08,4.8858e-10
-170.0,-2.554499e-08,3.67777e-10
-175.0,-2.565455e-08,2.827372e-10
-180.0,-2.574726e-08,2.150515e-10
-185.0,-2.586021e-08,2.736731e-10
-190.0,-2.60576e-08,2.419862e-10
-195.0,-2.630281e-08,2.573274e-10
-200.0,-2.63892e-08,2.595426e-10
-205.0,-2.655499e-08,2.997294e-10
-210.0,-2.676743e-08,2.751409e-10
-215.0,-2.6672e-08,2.977739e-10
-220.0,-2.680091e-08,3.938401e-10
-225.0,-2.704556e-08,2.881052e-10
-230.0,-2.707545e-08,2.851605e-10
-235.0,-2.725465e-08,2.797119e-10
-240.0,-2.721707e-08,3.128172e-10
-245.0,-2.738756e-08,1.896048e-10
-250.0,-2.752175e-08,2.79721e-10
-255.0,-2.763864e-08,2.864816e-10
-260.0,-2.781554e-08,2.929438e-10
-265.0,-2.768792e-08,2.653864e-10
-270.0,-2.770201e-08,2.965837e-10
-275.0,-2.823113e-08,3.927476e-10
-280.0,-2.821785e-08,2.772939e-10
-285.0,-2.818594e-08,3.138712e-10
-290.0,-2.834011e-08,3.085397e-10
-295.0,-2.840655e-08,2.908269e-10
-300.0,-2.852722e-08,2.726417e-10
-305.0,-2.872997e-08,2.805587e-10
-310.0,-2.888315e-08,2.247389e-10
-315.0,-2.890837e-08,2.622956e-10
-320.0,-2.904632e-08,3.389059e-10
-325.0,-2.921976e-08,2.535036e-10
-330.0,-2.899141e-08,6.542781e-10
-335.0,-2.947402e-08,2.036987e-10
-340.0,-2.964614e-08,2.494924e-10
-345.0,-2.974538e-08,2.799231e-10
-350.0,-3.000389e-08,2.637461e-10
-355.0,-3.019829e-08,2.385507e-10
-360.0,-3.019505e-08,2.194869e-10
-365.0,-3.035722e-08,2.868112e-10
-370.0,-3.075673e-08,3.264453e-10
-375.0,-3.093826e-08,2.692447e-10
-380.0,-3.112315e-08,2.270112e-10
-385.0,-3.114577e-08,4.329282e-10
-390.0,-3.136933e-08,3.833756e-10
-395.0,-3.158556e-08,2.896037e-10
-400.0,-3.154807e-08,2.548569e-10
-405.0,-3.193782e-08,2.573573e-10
-410.0,-3.211762e-08,3.058639e-10
-415.0,-3.222956e-08,3.157602e-10
-420.0,-3.256476e-08,2.860277e-10
-425.0,-3.276595e-08,2.779261e-10
-430.0,-3.307407e-08,2.197399e-10
-435.0,-3.326915e-08,2.760701e-10
-440.0,-3.355242e-08,2.608817e-10
-445.0,-3.374232e-08,3.766889e-10
-450.0,-3.401913e-08,4.720762e-10
-455.0,-3.440626e-08,3.047504e-10
-460.0,-3.459431e-08,2.24143e-10
-465.0,-3.474381e-08,1.968666e-10
-470.0,-3.507084e-08,2.575068e-10
-475.0,-3.539818e-08,2.7613e-10
-480.0,-3.560088e-08,2.889307e-10
-485.0,-3.597999e-08,2.724103e-10
