voltage,current,currentDev
0.0,1.876559e-11,1.408687e-10
-5.0,3.568542e-11,1.496419e-10
-10.0,1.22421e-11,1.542018e-10
-15.0,4.571659e-13,1.402341e-10
-20.0,-1.503893e-11,1.558487e-10
-25.0,-9.619865e-11,3.513906e-10
-30.0,-1.681738e-08,5.479689e-10
-35.0,-1.741825e-08,4.89953e-10
-40.0,-1.726019e-08,3.734023e-10
-45.0,-1.666191e-08,3.709391e-10
-50.0,-1.67596e-08,3.590417e-10
-55.0,-1.678364e-08,3.542328e-10
-60.0,-1.682001e-08,2.574143e-10
-65.0,-1.691667e-08,2.963959e-10
-70.0,-1.689606e-08,3.163619e-10
-75.0,-1.703277e-08,3.152437e-10
-80.0,-1.699321e-08,3.383164e-10
-85.0,-1.715135e-08,3.484623e-10
-90.0,-1.712097e-08,2.994539e-10
-95.0,-1.719297e-08,3.072523e-10
-100.0,-1.721629e-08,2.846087e-10
-105.0,-1.726531e-08,3.077344e-10
-110.0,-1.736264e-08,3.080288e-10
-115.0,-1.738455e-08,2.829232e-10
-120.0,-1.739613e-08,2.509962e-10
-125.0,-1.740495e-08,2.81619e-10
-130.0,-1.752529e-08,3.340546e-10
-135.0,-1.748877e-08,3.181761e-10
-140.0,-1.763161e-08,3.308536e-10
-145.0,-1.760286e-08,3.065129e-10
-150.0,-1.77256e-08,2.982301e-10
-155.0,-1.771615e-08,2.657891e-10
-160.0,-1.787487e-08,3.469816e-10
-165.0,-1.788077e-08,2.502008e-10
-170.0,-1.789568e-08,3.081652e-10
-175.0,-1.800924e-08,3.056566e-10
-180.0,-1.806004e-08,2.740854e-10
-185.0,-1.818635e-08,2.878143e-10
-190.0,-1.827827e-08,2.833236e-10
-195.0,-1.83556e-08,2.958157e-10
-200.0,-1.843029e-08,2.831086e-10
-205.0,-1.855096e-08,2.77221e-10
-210.0,-1.859487e-08,2.864786e-10
-215.0,-1.873531e-08,2.738775e-10
-220.0,-1.879111e-08,3.24494e-10
-225.0,-1.89314e-08,2.878964e-10
-230.0,-1.913383e-08,2.996397e-10
-235.0,-1.921582e-08,2.683477e-10
-240.0,-1.933687e-08,2.461661e-10
-245.0,-1.942458e-08,2.560239e-10
-250.0,-1.95434e-08,2.955124e-10
-255.0,-1.975968e-08,2.749517e-10
-260.0,-1.987855e-08,2.82852e-10
-265.0,-1.991288e-08,2.613095e-10
-270.0,-2.01186e-08,2.928261e-10
-275.0,-2.02472e-08,2.672067e-10
-280.0,-2.04026e-08,2.6096e-10
-285.0,-2.048488e-08,2.586172e-10
-290.0,-2.070673e-08,2.93454e-10
-295.0,-2.078049e-08,2.82512e-10
-300.0,-2.099691e-08,2.95743e-10
-305.0,-2.105654e-08,2.708891e-10
-310.0,-2.124585e-08,2.526756e-10
-315.0,-2.143491e-08,2.843749e-10
-320.0,-2.152395e-08,2.717384e-10
-325.0,-2.172655e-08,2.904982e-10
-330.0,-2.183222e-08,2.70904e-10
-335.0,-2.203569e-08,2.882059e-10
-340.0,-2.213078e-08,2.685256e-10
-345.0,-2.235143e-08,2.610485e-10
-350.0,-2.253806e-08,2.766873e-10
-355.0,-2.267968e-08,2.92086e-10
-360.0,-2.290405e-08,2.655075e-10
-365.0,-2.313387e-08,3.339653e-10
-370.0,-2.329773e-08,2.696301e-10
-375.0,-2.349755e-08,2.838938e-10
-380.0,-2.363216e-08,2.754028e-10
-385.0,-2.385663e-08,3.272548e-10
-390.0,-2.408776e-08,2.636459e-10
-395.0,-2.434836e-08,3.01323e-10
-400.0,-2.44964e-08,2.8765e-10
-405.0,-2.481983e-08,3.214576e-10
-410.0,-2.495422e-08,3.087272e-10
-415.0,-2.533904e-08,3.315107e-10
-420.0,-2.587079e-08,5.722237e-10
-425.0,-2.585667e-08,3.76755e-10
-430.0,-2.597619e-08,2.692623e-10
-435.0,-2.62104e-08,2.73479e-10
-440.0,-2.643598e-08,2.94071e-10
-445.0,-2.679866e-08,2.742434e-10
