voltage,current,currentDev
0.0,-2.735311e-10,6.674657e-10
-5.0,-9.731647e-09,8.402664e-10
-10.0,-1.159128e-08,6.110514e-10
-15.0,-1.321351e-08,6.039526e-10
-20.0,-1.370071e-08,8.278338e-10
-25.0,-1.457601e-08,1.057838e-09
-30.0,-1.483933e-08,5.1949e-10
-35.0,-1.506068e-08,4.52641e-10
-40.0,-1.50903e-08,5.497113e-10
-45.0,-1.516659e-08,5.418578e-10
-50.0,-1.519534e-08,4.322593e-10
-55.0,-1.529725e-08,6.068849e-10
-60.0,-1.536223e-08,3.967263e-10
-65.0,-1.541783e-08,4.519307e-10
-70.0,-1.531864e-08,3.93344e-10
-75.0,-1.552075e-08,5.620775e-10
-80.0,-1.540341e-08,5.130814e-10
-85.0,-1.565549e-08,4.457486e-10
-90.0,-1.559732e-08,4.682483e-10
-95.0,-1.559814e-08,4.120173e-10
-100.0,-1.567055e-08,4.172892e-10
-105.0,-1.578995e-08,3.672696e-10
-110.0,-1.579846e-08,5.120934e-10
-115.0,-1.574404e-08,4.585775e-10
-120.0,-1.594613e-08,4.057334e-10
-125.0,-1.596802e-08,4.287458e-10
-130.0,-1.611105e-08,4.135545e-10
-135.0,-1.59034e-08,3.454942e-10
-140.0,-1.60869e-08,2.335138e-10
-145.0,-1.612886e-08,4.138553e-10
-150.0,-1.618233e-08,3.81335e-10
-155.0,-1.626784e-08,2.413067e-10
-160.0,-1.637186e-08,3.89979e-10
-165.0,-1.640487e-08,3.898062e-10
-170.0,-1.643031e-08,3.194082e-10
-175.0,-1.666287e-08,4.285799e-10
-180.0,-1.670169e-08,2.757732e-10
-185.0,-1.682145e-08,4.831458e-10
-190.0,-1.708857e-08,5.008424e-10
-195.0,-1.723335e-08,4.018752e-10
-200.0,-1.726924e-08,3.601678e-10
-205.0,-1.741197e-08,3.723169e-10
-210.0,-1.75385e-08,3.858852e-10
-215.0,-1.775544e-08,3.937852e-10
-220.0,-1.810943e-08,4.92984e-10
-225.0,-1.815344e-08,2.959641e-10
-230.0,-1.834072e-08,4.370924e-10
-235.0,-1.867669e-08,3.299048e-10
-240.0,-1.892326e-08,4.714802e-10
-245.0,-1.921714e-08,3.998287e-10
-250.0,-1.957889e-08,3.869415e-10
-255.0,-1.964368e-08,3.489759e-10
-260.0,-1.99503e-08,3.35239e-10
-265.0,-2.024207e-08,3.819195e-10
-270.0,-2.073019e-08,4.339793e-10
-275.0,-2.108214e-08,4.014431e-10
-280.0,-2.146713e-08,6.317134e-10
-285.0,-2.203405e-08,3.374003e-10
-290.0,-2.261979e-08,4.591803e-10
-295.0,-2.290147e-08,3.753895e-10
-300.0,-2.335302e-08,3.910335e-10
-305.0,-2.417899e-08,4.248459e-10
-310.0,-2.498624e-08,3.259559e-10
-315.0,-2.600719e-08,4.056188e-10
-320.0,-2.639787e-08,4.362911e-10
-325.0,-2.706463e-08,3.869541e-10
-330.0,-2.792074e-08,4.213919e-10
-335.0,-2.839836e-08,4.653123e-10
-340.0,-2.946606e-08,5.016404e-10
-345.0,-3.009947e-08,2.628165e-10
-350.0,-3.11014e-08,5.564195e-10
-355.0,-3.18777e-08,3.075569e-10
-360.0,-3.290646e-08,4.3296e-10
-365.0,-3.362664e-08,3.667061e-10
-370.0,-3.42172e-08,3.219613e-10
-375.0,-3.623671e-08,6.258297e-10
-380.0,-3.826039e-08,3.363275e-10
-385.0,-3.88298e-08,4.950984e-10
-390.0,-4.164716e-08,4.646608e-10
-395.0,-4.268182e-08,6.501191e-10
-400.0,-4.495114e-08,3.735271e-10
-405.0,-4.518423e-08,4.163707e-10
-410.0,-4.711154e-08,5.640629e-10
-415.0,-4.868744e-08,4.471526e-10
-420.0,-5.027503e-08,4.699883e-10
-425.0,-5.471233e-08,5.321351e-10
-430.0,-5.673833e-08,7.541352e-10
-435.0,-6.150646e-08,7.782121e-10
-440.0,-6.928919e-08,6.892689e-10
-445.0,-7.309561e-08,1.024412e-09
-450.0,-7.792686e-08,1.429287e-09
-455.0,-8.52039e-08,9.136656e-10
-460.0,-9.40527e-08,1.025452e-09
-465.0,-9.87963e-08,2.222481e-09
-470.0,-1.050374e-07,1.067044e-09
-475.0,-1.074172e-07,1.406574e-09
-480.0,-1.143729e-07,1.179445e-09
-485.0,-1.261825e-07,2.667395e-09
-490.0,-1.34408e-07,1.696986e-09
-495.0,-1.461597e-07,2.986049e-09
-500.0,-1.709681e-07,7.199629e-09
-505.0,-2.054739e-07,1.448339e-08
-510.0,-2.790121e-07,1.749382e-08
-515.0,-3.128539e-07,5.290953e-09
-520.0,-3.308989e-07,4.433377e-09
-525.0,-3.751526e-07,6.700831e-09
-530.0,-3.592368e-07,3.384949e-08
-535.0,-4.231061e-07,8.012073e-09
