voltage,current,currentDev
0.0,5.713101e-11,5.4984e-10
-5.0,-1.556228e-09,8.412152e-10
-10.0,-1.119137e-08,2.306629e-09
-15.0,-1.272196e-08,2.796678e-09
-20.0,-1.208578e-08,2.061152e-09
-25.0,-1.442072e-08,5.643733e-10
-30.0,-1.464975e-08,3.671448e-10
-35.0,-1.47002e-08,1.235714e-09
-40.0,-1.510164e-08,3.241593e-10
-45.0,-1.543195e-08,4.763681e-10
-50.0,-1.566451e-08,7.653952e-10
-55.0,-1.594171e-08,3.915928e-10
-60.0,-1.602289e-08,5.628355e-10
-65.0,-1.6039e-08,6.803444e-10
-70.0,-1.583104e-08,6.558009e-10
-75.0,-1.624405e-08,4.518135e-10
-80.0,-1.68049e-08,1.486986e-09
-85.0,-1.650496e-08,3.498228e-10
-90.0,-1.651811e-08,4.003681e-10
-95.0,-1.666298e-08,3.473911e-10
-100.0,-1.692288e-08,6.823274e-10
-105.0,-1.642736e-08,1.303002e-09
-110.0,-1.694779e-08,4.956974e-10
-115.0,-1.713115e-08,1.669796e-09
-120.0,-1.720934e-08,4.7794e-10
-125.0,-1.749427e-08,4.096506e-10
-130.0,-1.73661e-08,3.657033e-10
-135.0,-1.74199e-08,4.51237e-10
-140.0,-1.692921e-08,1.069578e-09
-145.0,-1.743786e-08,3.659766e-10
-150.0,-1.742089e-08,3.633645e-10
-155.0,-1.749881e-08,3.635779e-10
-160.0,-1.76567e-08,3.436608e-10
-165.0,-1.817883e-08,1.457328e-09
-170.0,-1.820222e-08,1.155712e-09
-175.0,-1.790059e-08,8.98543e-10
-180.0,-1.785203e-08,9.357574e-10
-185.0,-1.801295e-08,5.653129e-10
-190.0,-1.836142e-08,3.234099e-10
-195.0,-1.855243e-08,3.01381e-09
-200.0,-1.863777e-08,7.315633e-10
-205.0,-1.86715e-08,4.047924e-10
-210.0,-1.880582e-08,3.516469e-10
-215.0,-1.889308e-08,1.050781e-09
-220.0,-1.929535e-08,4.013335e-10
-225.0,-1.892687e-08,1.000522e-09
-230.0,-1.929321e-08,2.793363e-10
-235.0,-1.944344e-08,8.422273e-10
-240.0,-1.952498e-08,2.426806e-10
-245.0,-1.978162e-08,2.585198e-10
-250.0,-1.980111e-08,3.975203e-10
-255.0,-2.002065e-08,2.685086e-10
-260.0,-2.026566e-08,2.779005e-10
-265.0,-2.028429e-08,4.133245e-10
-270.0,-2.050472e-08,3.042982e-10
-275.0,-2.066883e-08,3.486921e-10
-280.0,-2.091645e-08,2.656048e-10
-285.0,-2.091078e-08,4.075328e-10
-290.0,-2.113608e-08,7.217049e-10
-295.0,-2.093017e-08,5.470479e-10
-300.0,-2.111853e-08,5.921951e-10
-305.0,-2.156341e-08,3.739194e-10
-310.0,-2.166045e-08,3.545005e-10
-315.0,-2.166412e-08,5.180634e-10
-320.0,-2.197585e-08,3.291916e-10
-325.0,-2.213839e-08,3.937686e-10
-330.0,-2.248036e-08,4.294475e-10
-335.0,-2.198933e-08,2.20531e-09
-340.0,-2.265937e-08,4.601202e-10
-345.0,-2.320441e-08,1.093683e-09
-350.0,-2.342343e-08,1.474938e-09
-355.0,-2.294634e-08,5.937975e-10
-360.0,-2.339409e-08,6.580733e-10
-365.0,-2.337345e-08,3.62273e-10
-370.0,-2.368663e-08,3.632986e-10
-375.0,-2.409373e-08,4.551551e-10
-380.0,-2.333264e-08,1.398577e-09
-385.0,-2.431167e-08,5.38606e-10
-390.0,-2.452325e-08,8.657113e-10
-395.0,-2.492798e-08,8.468965e-10
-400.0,-2.4912e-08,8.961116e-10
-405.0,-2.514047e-08,1.133016e-09
-410.0,-2.525007e-08,4.981561e-10
-415.0,-2.548272e-08,4.370878e-10
-420.0,-2.551791e-08,5.285101e-10
-425.0,-2.601485e-08,9.115365e-10
-430.0,-2.626139e-08,3.362359e-10
-435.0,-2.664621e-08,3.870024e-10
-440.0,-2.673428e-08,3.096319e-10
-445.0,-2.709927e-08,3.563005e-10
-450.0,-2.726315e-08,3.373966e-10
-455.0,-2.758348e-08,5.412608e-10
-460.0,-2.785618e-08,7.771505e-10
-465.0,-2.815882e-08,3.536974e-10
-470.0,-2.871704e-08,8.666931e-10
-475.0,-2.855099e-08,9.2684e-10
-480.0,-2.878554e-08,3.136078e-10
-485.0,-2.952258e-08,6.408921e-10
-490.0,-2.95897e-08,4.309471e-10
-495.0,-2.997553e-08,3.974793e-10
-500.0,-3.024719e-08,3.242725e-10
-505.0,-3.055942e-08,4.60608e-10
-510.0,-3.089767e-08,3.088342e-10
-515.0,-3.134784e-08,3.473083e-10
-520.0,-3.167566e-08,2.916039e-10
-525.0,-3.200658e-08,3.397792e-10
-530.0,-3.218423e-08,4.694999e-10
-535.0,-3.274591e-08,3.927183e-10
-540.0,-3.300905e-08,3.121079e-10
-545.0,-3.330201e-08,3.916548e-10
-550.0,-3.367937e-08,3.833218e-10
-555.0,-3.412066e-08,4.699215e-10
-560.0,-3.444459e-08,5.375755e-10
-565.0,-3.485068e-08,4.154407e-10
-570.0,-3.508527e-08,3.474724e-10
-575.0,-3.552831e-08,3.15956e-10
-580.0,-3.583401e-08,4.359094e-10
-585.0,-3.640258e-08,3.971081e-10
-590.0,-3.680244e-08,4.684877e-10
-595.0,-3.712867e-08,4.036186e-10
-600.0,-3.759473e-08,4.350657e-10
-605.0,-3.808123e-08,4.749987e-10
-610.0,-3.849848e-08,3.618076e-10
-615.0,-3.88155e-08,3.064199e-10
-620.0,-3.932937e-08,3.012012e-10
-625.0,-3.972876e-08,4.117848e-10
-630.0,-4.017124e-08,4.574688e-10
-635.0,-4.066798e-08,3.614976e-10
-640.0,-4.121351e-08,4.446644e-10
-645.0,-4.1692e-08,2.942229e-10
-650.0,-4.212013e-08,3.943078e-10
-655.0,-4.243668e-08,4.076152e-10
-660.0,-4.329972e-08,1.356705e-09
-665.0,-4.338861e-08,3.191201e-10
-670.0,-4.388528e-08,3.754601e-10
-675.0,-4.424273e-08,3.199101e-10
-680.0,-4.471551e-08,5.292341e-10
-685.0,-4.519472e-08,1.984213e-10
-690.0,-4.578012e-08,4.362272e-10
-695.0,-4.611244e-08,3.527129e-10
-700.0,-4.679287e-08,3.968811e-10
-705.0,-4.737522e-08,4.911962e-10
-710.0,-4.761322e-08,3.410489e-10
-715.0,-4.829346e-08,3.344737e-10
-720.0,-4.885979e-08,7.188118e-10
-725.0,-4.922657e-08,4.071527e-10
-730.0,-4.959744e-08,4.850585e-10
-735.0,-5.0079e-08,4.154351e-10
-740.0,-5.077263e-08,3.494209e-10
-745.0,-5.095269e-08,7.276172e-10
-750.0,-5.17619e-08,4.082887e-10
-755.0,-5.228256e-08,5.813761e-10
-760.0,-5.28721e-08,4.178714e-10
-765.0,-5.302473e-08,6.859081e-10
-770.0,-5.404191e-08,4.607495e-10
-775.0,-5.447302e-08,5.477135e-10
-780.0,-5.501525e-08,9.01732e-10
-785.0,-5.548142e-08,6.940337e-10
-790.0,-5.609127e-08,3.693269e-10
-795.0,-5.658488e-08,3.380808e-10
-800.0,-5.690653e-08,7.357538e-10
-805.0,-5.795238e-08,1.15097e-09
-810.0,-5.844501e-08,6.477464e-10
-815.0,-5.900568e-08,3.025759e-10
-820.0,-5.941629e-08,4.330048e-10
-825.0,-6.055785e-08,8.176594e-10
-830.0,-6.100603e-08,8.9712e-10
-835.0,-6.130219e-08,5.122631e-10
-840.0,-6.180499e-08,4.147855e-10
-845.0,-6.229308e-08,7.614161e-10
-850.0,-6.299485e-08,5.624339e-10
-855.0,-6.359424e-08,4.381484e-10
-860.0,-6.441177e-08,6.858978e-10
-865.0,-6.493954e-08,5.386729e-10
-870.0,-6.53123e-08,4.514427e-10
-875.0,-6.600823e-08,4.965817e-10
-880.0,-6.669723e-08,4.269902e-10
-885.0,-6.759322e-08,8.237663e-10
-890.0,-6.787384e-08,4.773549e-10
-895.0,-6.839431e-08,4.292929e-10
-900.0,-6.895149e-08,5.351833e-10
-905.0,-6.97869e-08,7.265804e-10
-910.0,-7.032163e-08,3.341196e-10
-915.0,-7.104904e-08,6.597763e-10
-920.0,-7.140016e-08,1.428611e-09
-925.0,-7.253162e-08,5.139988e-10
-930.0,-7.299587e-08,6.260891e-10
-935.0,-7.382041e-08,6.337393e-10
-940.0,-7.427924e-08,5.110813e-10
-945.0,-7.513384e-08,4.785423e-10
-950.0,-7.556151e-08,6.873421e-10
-955.0,-7.637519e-08,5.622612e-10
-960.0,-7.721278e-08,5.132676e-10
-965.0,-7.734982e-08,1.449254e-09
-970.0,-7.827978e-08,9.691701e-10
-975.0,-7.912443e-08,7.355513e-10
-980.0,-7.991528e-08,5.80059e-10
-985.0,-8.034225e-08,4.002245e-10
-990.0,-8.124071e-08,9.897895e-10
-995.0,-8.176359e-08,8.358618e-10
-1000.0,-8.304117e-08,1.037494e-09
