voltage,current,currentDev
0.0,-2.33723e-10,4.531902e-10
-5.0,-1.086608e-08,5.508325e-10
-10.0,-1.074052e-08,7.223813e-10
-15.0,-1.074107e-08,7.051364e-10
-20.0,-1.611686e-08,6.281119e-10
-25.0,-1.619551e-08,4.811872e-10
-30.0,-1.537163e-08,3.047669e-10
-35.0,-1.55857e-08,3.927176e-10
-40.0,-1.56766e-08,3.699239e-10
-45.0,-1.582917e-08,3.704836e-10
-50.0,-1.586144e-08,3.090685e-10
-55.0,-1.593558e-08,3.161759e-10
-60.0,-1.601183e-08,3.69863e-10
-65.0,-1.601355e-08,3.100899e-10
-70.0,-1.613652e-08,3.076027e-10
-75.0,-1.612818e-08,3.418411e-10
-80.0,-1.628742e-08,3.262811e-10
-85.0,-1.623337e-08,3.429836e-10
-90.0,-1.634618e-08,3.046769e-10
-95.0,-1.640249e-08,2.804287e-10
-100.0,-1.645895e-08,3.33491e-10
-105.0,-1.652378e-08,3.135607e-10
-110.0,-1.656965e-08,3.37657e-10
-115.0,-1.65933e-08,2.635725e-10
-120.0,-1.670439e-08,3.095712e-10
-125.0,-1.664309e-08,2.992685e-10
-130.0,-1.68444e-08,2.993692e-10
-135.0,-1.686376e-08,2.739207e-10
-140.0,-1.696285e-08,2.806642e-10
-145.0,-1.702032e-08,3.103002e-10
-150.0,-1.697782e-08,2.903648e-10
-155.0,-1.712512e-08,3.076079e-10
-160.0,-1.711116e-08,2.827565e-10
-165.0,-1.723471e-08,3.085678e-10
-170.0,-1.728641e-08,2.758367e-10
-175.0,-1.734542e-08,2.715209e-10
-180.0,-1.743536e-08,3.293461e-10
-185.0,-1.75818e-08,2.837061e-10
-190.0,-1.761715e-08,2.945632e-10
-195.0,-1.764303e-08,2.910387e-10
-200.0,-1.778007e-08,3.129209e-10
-205.0,-1.789271e-08,3.190055e-10
-210.0,-1.793428e-08,2.86516e-10
-215.0,-1.81599e-08,2.935943e-10
-220.0,-1.818982e-08,3.250945e-10
-225.0,-1.83381e-08,3.08266e-10
-230.0,-1.840611e-08,2.501158e-10
-235.0,-1.84929e-08,2.977334e-10
-240.0,-1.859186e-08,2.971724e-10
-245.0,-1.878129e-08,3.068077e-10
-250.0,-1.885039e-08,3.315883e-10
-255.0,-1.892047e-08,2.652998e-10
-260.0,-1.908658e-08,2.706112e-10
-265.0,-1.921267e-08,3.5033e-10
-270.0,-1.933552e-08,2.89055e-10
-275.0,-1.947478e-08,2.476925e-10
-280.0,-1.968291e-08,2.80446e-10
-285.0,-1.974273e-08,2.889363e-10
-290.0,-1.983654e-08,2.524503e-10
-295.0,-2.010326e-08,3.386266e-10
-300.0,-2.017677e-08,2.93354e-10
-305.0,-2.032462e-08,2.63557e-10
